stars,text
3," Είμαι λίγο απογοητευμένος για προϊόν της Apple. Το interface και η περιήγηση με το remote control συνεχίζει και με μπερδεύει μετά από έναν μήνα χρήσης. Στην Ελλάδα μόνο Netflix υπάρχει για προβολή ταινιών και από τα διαθέσιμα παιχνίδια στο Apple TV store γενικά είμαι απογοητευμένος, δεν έχω βρει κάτι αξιόλογο ενώ σχεδόν όλα είναι πολύ δύσκολο να τ...Διαβάστε Περισσότεραα παίξεις χωρίς game controller (πρόσθετο κόστος ένα πενηνταράκι, στο νερό).   Το mirroring από i-συσκευές και Mac μετράει, καθώς και άλλες ευκολίες (youtube, φωτογραφίες, μουσική κλπ). Σε γενικές γραμμές έως τώρα το χρησιμοποιώ κατά 80% για Netflix, αλλά αν κόψω συνδρομή παίζει να πάει για πώληση το Apple TV :( Διαβάστε Λιγότερα"
5, και με το νεο vlc player για apple tv ακομη περισότερα. Ψαχτε το. 
5," Απο κάθε άποψη τέλειο, ειδικά αν είσαι χρήστης και άλλων συσκευών Apple είναι σίγουρο ότι θα το λατρέψεις "
5, Ο καλύτερος media player με διαφορά 
5, Πρακτικότατο 
5, Εξαιρετικό 
5, Για τον νεοεισερχόμενο στον χώρο του VR αποτελεί μια πάρα πολύ καλή και οικονομική επιλογή αν η κινητή του συσκευή είναι συμβατή. 
5, καταπληκτικο 
5, Άψογοι σε όλα ! 
5, N/A 
5, Με λίγα λόγια μία φθηνή και καλής ποιότητας τσάντα (για λίγα βέβαια πράγματα). 
1, Λειτούργησε μια φορά και μετά δεν ξανά λειτούργησε 
1, Για να ανταποκριθει πρεπει να το εχεις σχεδον κολλημενο στο στομα σου. Πολυ χαμηλη ευαισθησία. 
2," Πολύ κακής ποιότητας πλαστικά,τρίζει κατά την λειτουργία "
3," μέτρια, αρκετές φορές βγάζει παράσιτα "
5, 5 
4, Για να δουλεύω με το λάπτοπ στα πόδια είναι μια χαρά. Η ψύξη του αναμενόμενη (1-2 βαθμούς). Στον ένα μήνα που το έχω είμαι ευχαριστημένος. 
5, είναι μακράν η πιο άνετη βάση για τα πόδια και το κρεβάτι! ίσως όχι για βαρύ gaming αλλά για κάζουαλ χρήση είναι αξεπέραστη! το μόνο αρνητικό είναι ότι η τιμή της είναιλίγο τσιμπιμένη 
4, Γρηγορη αποστολη αμεση ενημερωση 
5, Πολυ καλο! Πηρα 2 
4, 4 
5, ΕΥΚΟΛΗ ΤΟΠΟΘΕΤΗΣΗ ΚΑΛΗ ΠΟΙΟΤΗΤΑ 
5, Εύκολη λύση γρήγορα αντί κανονικής καίριας 
4, λειτουργικη 
3," Περίμενα καλύτερη απόκριση σήματος μιας και δουλεύει με μετασχηματιστη και ρεύμα. Παρόλο που δεν είναι μακριά το σήμα εκπομπής, (5χλμ σε ευθεία) μερικοί σταθμοί έχουν πρόβλημα στην εικόνα "
3," εύκολο στη χρήση και καλαίσθητο,δεν πιάνει όλα όμως τα κανάλια, μπορεί φυσικά να φταίει η θέση του διαμερίσματος "
5, Εξαιρετική. 
5, Πολύ θετική 
5, Πολύ καλό 
5," Εξαιρετική ποιότητα κατασκευής, στιβαρό σίδερο και όχι κάτι σαν σίδερο όπως είναι οι κοινές του εμπορίου universal βάσεις.Ιδανική για τηλεόραση 55-65 ιντσών ,προσοχή δεν κινείται πάνω κάτω, αλλά δεξιά αριστερά , πίσω τελείως στον τοίχο και μπροστά 13cm.Εάν αγοράσετε τηλεόραση sony είναι μονόδρομος .Είναι συνδιασμένη με την τηλεόραση Sony KD55XE930...Διαβάστε Περισσότερα5 και πραγματικά δεν αντιλαμβάνεσαι πως υπάρχει βάση στον τοίχο, κανένα θέμα με την οργάνωση καλωδίων (γιατί η τηλεόραση έχει εξαιρετική οπίσθια οργάνωση ).Την συνιστώ ανεπιφύλακτα! Διαβάστε Λιγότερα"
5," Γρήγορο στην εγκατάσταση, με Νetflix πάνω στο τηλεχειριστήριο, πιο ακριβό στην Ελλάδα σε σχέση με τις ΗΠΑ στις οποίες η τιμή του στα Walmart ήταν στα 40$. "
5, Αρκετά εύκολο στον χειρισμό!! 
5, Πολύ καλό και χρήσιμο αν δεν έχεις smart tv. 
5, Άριστη 
5, Πολύ καλό 
5, αξιόπιστο και πολυ γρηγορο 
