stars,text
5, extremely easy to set up and use. Great product! 
5," Πολύ ευχαριστημένος! , Ασύρματη λειτουργία καλή εικόνα πρωί-βράδυ, zoom, δυνατότητα περιστροφής, ομιλίας μέσα από την κάμερα, παρακολούθησης live από το κινητό-tablet,pc όποτε θέλεις, Μotion detection πολύ καλό όπως και ήχου detection επίσης καλό. και Καταγράφει 24 ώρες το εικοσιτετράωρο, ενημερώνει με app κινητό-tablet, και στέλνει 3 φωτογραφίες ...Διαβάστε Περισσότεραστο mail σου.(Μέχρι 60 mail το μήνα με δυνατότητα επέκτασης του αριθμού των mail). Διαβάστε Λιγότερα"
4," το χρησιμοποιώ 1 περίπου μήνα και προς το παρόν μόνον ασύρματα.  ΘΕΤΙΚΑ:  - Εύκολη σύνδεση - Πολύ καλό για εποπτεία του χώρου (καταγραφή δεν έχω ακόμη δοκιμάσει) - Ευαίσθητοι αισθητήρες  - Άμεση ειδοποίηση για συμβάντα (το ενεργοποίησα δοκιμαστικά για λίγο), αλλά όπως διάβασα με κάποιους περιορισμούς στο πλήθος των ειδοποιήσεων. ...Διαβάστε Περισσότερα- Έλεγχος με πολλούς τρόπους (κινητές συσκευές, Η/Υ, ακόμα και μέσω web -cloud (live view) για 10' συνεχόμενα, μετά ξανα για άλλα 10' κοκ) - Καλή λήψη & απεικόνιση ακόμη και τη νύχτα  - Αμφίδρομη ηχητική επικοινωνία με το χώρο ΑΡΝΗΤΙΚΑ: - κατά τη σύνδεση υπάρχει μία χρονοκαθυστέρηση 1-3"" (δεν είναι παράλογο, ούτε κάνει τη διαφορά) - ελέγχοντας μέσα από web σε browser (live view), όταν πας να ανοίξεις για να δεις την οποιαδήποτε κάμερα, πάνω από τις μισές φορές εμφανίζει ""No connection"". Όταν το ξαναπατήσεις θα το δείξει κανονικά. Αυτό επαναλαμβάνεται συχνά σε όλες τις κάμερες ακόμη και σ αυτή που είναι δίπλα στο router.  - η κάμερα που είναι κοντά στο router μέσα από τη live view δεν ακούει σε καμμία εντολή για να γυρίσει προς οποιαδήποτε κατεύθυνση. Αντίθετα μέσα από την εφαρμογή για HY & κινητό, λειτουργεί κανονικά.  Σε γενικές γραμμές το θεωρώ αρκετά καλό & θα το πρότεινα αφού καλύπτει βασικές τουλάχιστον απαιτήσεις για εποπτεία Διαβάστε Λιγότερα"
5, Για την χρήση που το προορίζαμε είναι πολύ καλό για το κόστος απόκτησής του 
4, ΑΝΤΑΠΟΚΡΙΝΕΤΑΙ ΣΤΙΣ ΠΡΟΔΙΑΓΡΑΦΕΣ. ΚΑΛΗ ΤΙΜΗ ΓΙΑ ΟΤΙ ΠΡΟΣΦΕΡΕΙ. 
3, Καλο 
5, Πολύ καλό προιόν. Πολύ καλή υποστήριξη 
5, Άριστη σε όλα της 
5, Τέλειο! 
1," 2 ρούτερ και με κανένα δεν συνεργάζεται σωστά , ξαφνικά χάνει το WiFi και συνδέεται μόνο άμα κάνεις restart router, απαράδεκτη!! "
