stars,text
4, ΠΟΛΥ ΚΑΛΟ 
4, Πολύ καλό 
5, Πάρα πολύ καλό !! Η μάνα μου ευτυχισμένη 
4," Ευρύχωρο, μεγάλη καταψυξη! Ο θόρυβος είναι ελάχιστος! Σε γενικές γραμμές πολύ καλό! "
5, Πολύ καλό. 
5, 👍👍 
5, Ένα ωραίο ψυγείο σας ευχαριστώ 
5," Γρήγορο ψήσιμο, μεγάλη επιφάνεια. "
4, Οι μεταφορείς ήταν εξυπηρετικότατοι.  Μέχρι στιγμής κανένα πρόβλημα με την λειτουργία του ψυγείου. Μόνο η πόρτα της ψύξης δεν κλείνει αυτόματα και θέλει σπρώξιμο. 
4," ΠΡΟΣΦΑΤΗ ΑΓΟΡΑ, ΠΡΟΣ ΤΟ ΠΑΡΟΝ ΠΟΛΥ ΚΑΛΟ "
5, Πολύ καλή ψύξη και στην συντήρηση και στον καταψύκτη 
4," Προς το παρόν, μετά από σχεδόν 1 μήνα χρήσης δεν έχω κάποιο παράπονο από το εν λόγω ψυγείο. Εμφανισιακά είναι πολύ ωραίο (θα ήταν τέλειο αν και οι πλαϊνές πλευρές ήταν πραγματικό inox μέταλλο όπως η πρόσοψη και όχι βαμμένο), λειτουργικά φαίνεται μια χαρά και ο θόρυβος που κάνει είναι σε ανεκτά επίπεδα. Για τα λεφτά του (429€) είναι μια χαρά σε γεν...Διαβάστε Περισσότεραικές γραμμές. Διαβάστε Λιγότερα"
5, Τέλεια ψύξη 
5, ελπιζω να ειναι και μηχανικα το ιδιο καλο 
4, Αξιόλογο ψυγείο με χαμηλό θόρυβο πολύ καλή ψύξη αλλά με χώρους στην συντήρηση λίγο διαφορετικούς. 
5," Αν και το έχω λίγο καιρό το βρίσκω αρκετά καλό ψυγείο, Βολικό το βρυσάκι! Αθόρυβο. "
3," Το ψυγείο είναι πολύ ωραίο, ευρύχωρο και πολύ δυνατό στην ψύξη. Έχει όμως θόρυβο ανά διαστήματα κατά την επαναφορά της θερμοκρασίας. Λόγω της τεχνολογίας Airflow, μοιάζει με air-condition. Δηλαδή, πέρα από το θόρυβο του συμπιεστή, ακούγεται και ένας θόρυβος του αέρα που ρέει μέσα. Οπότε ουσιαστικά ο θόρυβος που κάνει μοιάζει αρκετά με αυτόν εν...Διαβάστε Περισσότεραός air-condition σε ήπια λειτουργία με τον συμπιεστή να είναι μέσα στο σπίτι και να ακούγεται και αυτός. Τέλος, στα συνοδευτικά βιβλιαράκια αναφέρεται πως η εγγύηση και το service είναι από τον Κωτσόβολο και όχι από τη Delonghi... Διαβάστε Λιγότερα"
4," Πρώην κάτοχος ψυγείου θεωρούσα ότι δε θα εχω αρκετό χωρο στη συντήρηση. Ωστόσο πραγματικά έχει άνετα ράφια και αρκετά βαθιά οπότε δεν έχω στριμώξει τα πράγματά μου ποτέ! Το βρυσάκι είναι πρακτικό και το δοχείο έχει χωρητικότητα 3 λίτρα οπότε ειδικά το καλοκαίρι πιστεύω θα είναι πολύ χρήσιμο. Ένα αρνητικό είναι ότι κάνει λίγο θορυβο όταν επαναφερει...Διαβάστε Περισσότερα τη θερμοκρασία. Επίσης, το έχω πολύ λίγο καιρό και δεν ξερω αν τυχόν το βρυσάκι καθοστά το ψυγείο πιο ευαίσθητο σε βλάβες. Διαβάστε Λιγότερα"
5, Ευρύχωρο και πολύ ωραίο design 
5," Υπέροχο, με μεγάλους χώρους!! Το μόνο ψυγειο που έχω ευχαριστηθεί!! "
5, Πολύ καλό Για τα λεφτά του!! 
5, τέλειο και αθόρυβο. παρά πολύ καλή ψύξη και σούπερ κατάψυξη. το προτείνω ανεπιφύλακτα!!! 
5, Polu kalh 
5, aristo 
5, TOP 
4," Νομιζω ειναι πολυ νωρις για να αξιολογησεις ενα προιον,πρεπει να περασουν τουλαχιστον εξι μηνες. "
4, θα μπορούσε να έχει καλύτερη εργονομία χώρων . για 400 ευρώ οκ . εμφανισιακά ωραίο . αθόρυβο εκτος από το σπάσιμο των πάγων που είναι σαν να βρυχάται δράκος 
5," Ευρύχωρο κ αθορυβο ψυγείο με πολυ καλη ψυξη τροφίμων κ εργονομια χωρου, είμαστε πολυ ευχαριστημένοι απο τη συγκεκριμένη αγορά "
