stars,text
5, Πολυ καλο κινητο και μπαταρια 
5, Εύχρηστο και αρκετά Ανθεκτικό. 
5, Eξαιρετικο για σκληρή καθημερινή χρήση με δυνατό ήχο και μπαταρία ..αιώνια 
2, δεν αξίζει 
5, Πολύ καλή εξυπηρέτηση και άμεση παράδοση. 
5, 5 
1, Καίει ολόκληρο!! 
2, TO LOGISMIKO DEN INE EKSIPIRETIKO STIS APETISIS TOU KATANALOTI 
4," Εξαιρετικο,γρηγορη ανταποκριση και εφαρμογες mls πολυ χρησιμες,γενικα ενα πολυ καλο smartphone που ανταποκρινεται στις συγχρονες απαιτησεις σε ενα ανταγωνιστικο περιβαλλον "
5, Αριστο σε όλα 
5, Πολύ καλή τιμή! Το τηλ είναι πάρα πολύ καλό είμαι ευχαριστημένος κ ευχαριστώ τ κωτσοβολος για την προσφορά 
5, Φορτωμένο με τα πάντα όλα. 
5, Πολύ καλό τηλέφωνο από μια επώνυμη εταιρεία σε εξαιρετική τιμή. 
5, Sony just never disappoints 
5, Εξαιρετικό ΠροΪόν..... 
5," Αγοράζω πάντα Sony τηλέφωνα και αυτό είναι το καλύτερο που έχω πάρει. Με αυτά τα χρήματα έχει σχεδόν τα πάντα.  Είναι γρήγορο έχει ωραία αίσθηση στο χέρι λεπτό με καλή οθόνη, κρύσταλλο φοβερό είναι αδιάβροχο και έχει ότι ακριβώς περίμενα και κάτι παραπάνω ωραία φωτογραφία και βίντεο με αργή κίνηση.  Ευχαριστώ το κατάστημα Κωτσόβολος αν...Διαβάστε Περισσότερα και θα ήθελα να είναι πιο γρήγορη η αποστολή του. Διαβάστε Λιγότερα"
5, ΥΠΕΡΟΧΟ 
5," Πολυ καλο κινητο σε ολες τις καθημερινες του χρησεις, πολυ καλες φωτο, γρηγορο και για τα λεφτα του 229 σε προσφορα, απιστευτο value for money "
5," Απλά καταπληκτικο κινητό. Αν και χρονια φανατικα χρήστης Samsung κινητών, έγινα λάτρης των Sony κινητών! "
5, Klasiko Xiaomi. einai budget smartphone. Mporeite na to breite kai f8inotero.. 
4, Kalo! 
4, Μια χαρά κινητό 
5, Τέλειο 
5, Super 
4, Μέχρι στιγμής έχει βγει αρκετά καλό 
4, . 
5, Πολύ καλό 
4, ΤΟ ΑΡΝΗΤΙΚΟ ΤΟΥ: ΔΕΝ ΕΧΕΙ ΡΑΔΙΟΦΩΝΟ. 
5, Πολύ ποιοτική θήκη. 
4, Πολύ καλό για τα λεφτά του.Οτι πρέπει για ηλικιωμένους . 
5, πολυ καλο για μεγαλεσ ηλικιες και οχι μονο 
4, Για τα χρήματα που διέθεσε τα 199 € γιατί ήταν σε προσφορά το τηλέφωνο τα αξίζει στο έπακρο Για το μόνο που δεν έμεινα ευχαριστημένος είναι για την κάμερα γιατί για τα megapixels που λένε ότι εχει οι φωτογραφίες που βγάζετε δεν είναι πάρα πολύ καλές αλλά δεν με ενδιαφέρει κιόλας γιατί εγώ το τηλέφωνο το πήρα για άλλη χρήση Ένα από τα υπέρ τα τηλέφ...Διαβάστε Περισσότεραωνο το σύστημα Mike έχω λύση το πρόβλημα του να κάθομαι να γράφω απλώς μιλάς και αυτό ανταπεξέρχεται πάρα πολύ καλό μπράβο τους Διαβάστε Λιγότερα
5, Αξιόπιστο 
5, Πολύ καλό για τα λεφτά του 
4," Είναι πάρα πολύ καλό για την τιμή του, το εχω 2 μήνες σχεδόν και δεν εχει κανένα πρόβλημα. Η μπροστά κάμερα είναι πολύ καλή. Η πίσω όμως δεν βγάζει τοσο καθαρες φωτογραφίες "
4, Είμαι πολύ ευχαριστημένος από τη συσκευή το μόνο πρόβλημα που αντιμετωπίζω είναι στην εύρεση αξεσουαρ 
3, Μέτριο 
5, TELEIO. 
