stars,text
5," Πολύ καλό προϊόν, σε καλή τιμή! "
5, Απίθανο 
5, Το ΄μόνο πρόβλημα που έχει είναι ότι επειδή είναι ελαφρύ θέλει προσοχή για να μην παρασυρθεί από το λάστιχο ή το καλώδιο. 
5, πολυ καλο για οικιακη χρηση 
5, Δυνατο μηχανημα οτι πρεπει για δουλειες στην αυλη. 
5," Mini μηχανή espresso και καφέ φίλτρου, καλός καφές με απλή διαδικασία. "
3, Μέτρια πίεση 
5, Πολυ καλος καφες! Ζεσταινεται σε λιγοτερο απο ενα λεπτο! Πλουσιο καημακι! Και με λιγη γνωση και καλη θεληση φτιαχνεις και ενα τιμιο αφρογαλακι! Αξιζει καθε ευρω της! 
5, Πολύ καλή και δυνατή για τα λεφτά της 
5," Πραγματικά πολύ καλή εσπρεσιερα. Στην αρχή δεν το περίμενα... Πολύ καλή και σωστή ροή του καφέ, πλούσιο καιμακι. Επίσης το ακροφυσιο που διαθέτει ακόμη και κάποιος που δεν ξέρει μπορεί να κάνει ένα αξιοπρεπεστατο αφρογαλο. Συστήνω ανεπιφύλακτα "
5, Πολύ καλή εσπρεσσιερα νόστιμος κ γευστικός καφές την συνιστώ 
5, ΠΟΛΥ ΚΑΛΟ 
4, Καλή 
4, Πολύ καλο 
1, Δεν κάνει ωραίο καφέ 
1," Έχει πρόβλημα... Τρέχει το νερό από το δοχείο πλήρωσης νερού, κάτω από την μηχανή... (Όχι της αποχέτευσης) θα την στείλω πίσω στην εταιρεία με την εγγύηση να μου πουν τι έχει... "
5, Πολύ καλή... Τέλειος εσπρέσσο.. 
5, καλη τιμη πολλες δυνατοτητες 
2, Την άλλαξα 3 φορες. Ευτυχώς την είχα ασφαλίσει. 
2," Αποδεκτη ποιοτητα κατασκευής ,υψηλη τιμή γιαυτην την ποιοτητα και το αποτελεσμα του καγέ.Τα touch κουμπια δεν πολυ ""ακουνε"" η αυτοματη εξαγωγη καψουλας ψιλοκολλαει...Ειδικα σε καποιες καψουλες του εμποριου το αυτοματο συστημα τις ""μασαει""... "
5, Εξαιρετική! 
4, πολυ καλη 
5," Μια καφετιέρα εσπρέσσο που δίνει το τέλειο αποτέλεσμα στον καφέ! ( λόγω των 19bar πίεσης) Πολύ εύκολο στην χρήση, αυτόματη ρύθμιση με δύο δοσολογιες καφέ, espresso and lungo. Η μηχανή κλείνει αυτόματα στα 9 λεπτά και χρειάζεται μόλις 25 δευτερόλεπτα για να ξεκινήσει η εκχύλιση! Τέλειο καϊμάκι το οποίο διατηρεί την θερμοκρασία του καφέ και τα αρώμα...Διαβάστε Περισσότερατα του καφέ στα σωστά επίπεδα! Στην συσκευασία μέσα δίνονται δώρο 14 κάψουλες Nespresso. Εξαιρετικης ποιότητας καφέ αν είστε λάτρης του καφέ θα λατρέψετε όλες τις ποικιλίες Nespresso! Συστήνω ανεπιφύλακτα την αγορά της μηχανής και την δοκιμή των ποικιλιών καφέ Nespresso! Διαβάστε Λιγότερα"
5, Γρήγορη και εύχρηστη. Εκτός απο nespresso βάζω και άλλες κάψουλες από το σούπερ μάρκετ. Σαν τον έτοιμο καφέ δε φτιάχνει αλλά από αυτού του τύπου της μηχανές θεωρώ ότι είναι πολύ καλή. Είμαι πολύ ευχαριστημενη με την αγορά της. 
5, Τρομερή μηχανή είναι η δεύτερη που έχω 
5, Κάνει τη δουλειά που υπόσχεται. Πολύ καλή σχέση ποιότητας-τιμής με ωραίο design. 
5, Απλή και εύχρηστη στη λειτουργία. Λίγο θορυβώδης. 
4, Πολύ καλή η μηχανή αλλά στον κοτσοβολο που την πηρα δεν μου δώσανε της δωρεάν κάψουλες που λέγανε ... 
5, Υπέροχη 
5, Εξαιρετικη 
4, Value for money 
5, Η μηχανη κανει άψογο καφε. Συστήνεται ανεπιφύλακτα. 
4, Με προβληματίζει η θήκη που μπαίνει η καψουλα. Αν πέσει λίγο λάθος κ κλείσεις για να γίνει ο καφές πάει η κάψουλα.. χαραμίστηκε.. Η εξυπηρέτηση στα καταστήματα Κωτσόβολος άθλια.. (συγκεκριμένα Ευκαρπίας κ Ευόσμου Θεσ/νίκης) 
5, Προτείνω ανεπιφύλακτα! 
1, Could have been more solid in terms of construction 
3," Την αλλάξαμε στις 9 ημέρες γιατί ο μισός καφές έβγαινε μέσα στο δοχείο αποστράγγισης. Όμορφη, εύκολη στη χρήση αλλά σχετικά μικρή ροή του καφέ. "
5, Ίδια ποιότητα καφέ σε κάθε κάψουλα. 
5, Εξαιρετικό. ξεκούραστο και άριστο πλύσιμο εξωτερικών πατωμάτων κια εξωτερικών χώρων γενικότερα. 
5," Έχοντας την Latissima που μου κόστισε 260 ευρώ , για το.δευτερο σπίτι πήρα αυτή και πραγματικά κάνει το ίδιο καλό καφέ χωρίς να φτιάχνει αφρογαλα σαν την άλλη. Τρώει κάτι κολληματακια που κ που κ δε μ τρυπάει την κάψουλα αλλά 1 στις 50 φορές έχει τύχει όχι περισσότερο. "
5, Value for money 
5, 5 
5, PARA POLY KALO 
5, Τίμια μηχανη 
5, 👍👌 
5," Ταχύτητα, αξιόλογο προιον για το κοστος! Τελεια επικογη! "
5, 5ΑΣΤΕΡΙΑ 
5, PERFECT! 
4, Λογική αντιστοιχία ποιότητας με τιμή 
3, Κάνει τέλειο καϊμάκι καλό καφέ αλλά πολύ θόρυβο και από αφρογαλλα όχι ότι το καλύτερο και χάλασε σε ένα μήνα . 
3, Τρεχει νερο μερικες φορες οταν εισαι σε λειτουργία για ατμο 
5, Πολύ καλή την συνιστώ! 
5, Πολύ καλή 
5, Εξαιρετική μηχανή για αλεσμένο καφέ. Λειτουργεί πάρα πολύ ωραία και το εξάρτημα για ζεστό αφρόγαλα. Η μόνη παρατήρηση είναι ότι ρέει κάπως γρήγορα το νερό μέσα από το κρουπ αλλά αυτό το ρυθμίζεις με την ποσότητα του καφέ και ας μην ζητάμε πιο πολλά από μία οικιακή μηχανή καφέ. :-) 
4, Αρκετά καλή 
4, Γενικά πολύ καλή το μόνο που με προβληματίζει είναι ότι δεν κάνει πολύ καλό αφρό γάλα 
4, ΠΟΛΥ ΚΑΛΟ 
4, . 
4, Πολυ καλο 
5," Υπέροχος καφές, σε μερικά μόλις δευτερόλεπτα!! "
5," Η καλύτερη μηχανή της Nespresso: Φτηνή, κομψή, με μικρό βάρος, πιάνει λίγο χώρο. "
5, Αψογο 
3, +Ευκολία στη χρήση +Καλό αφρόγαλα -Ποιότητα -Πίεση -Συχνό καθάρισμα του Group για ν΄αποδίδει σωστά 
5, Πολύ καλό 
5," Πολύ καλή, μ' έχει εξυπηρετήσει αφάνταστα. Με προγραμματισμό που μπορεί να ""ξενίζει"" αλλά τελικά είναι αποτελεσματικός. Ταχύτατη θέρμανση νερού (40΄΄), πολύ χαμηλός θόρυβος, μεγάλο δοχείο νερού, όμορφος σχεδιασμός. Το μόνο ""αρνητικό"" είναι ότι το χερούλι για τον καφέ δεν έχει τον μοχλό να το συγκρατείς όταν το αδειάζεις στον κάδο (που έχουν άλλες ...Διαβάστε Περισσότεραεσπρεσιέρες τέτοιου τύπου). Το δοχείο κρατιέται με ελάσματα βέβαια και δεν φεύγει. Έχω συναντήσει μια δυσκολία στο άδειασμα του στον κάδο, που όμως έλυσα με την χρήση από ένα ξυλάκι παγωτού. Διαβάστε Λιγότερα"
5," Έχει όλες τις λειτουργίες και ευκολίες που χρειάζονται, λειτουργεί άψογα, με ελάχιστο θόρυβο, και βγάζει πολύ καλό καφέ. Είναι και εμφανίσιμη, προσθέτει στην εικόνα της κουζίνας. "
4, Πολύ καλή μέχρι στιγμής αν αντέξει και στον καιρό θα είναι VFM 
5, Value for money! 
5, Πολυ ωραια τη συνηστω 
3, Δυστυχώς δεν αξίζει τα χρήματα που έχει.Δεν κάνει καλό αφρόγαλο. 
5, Πολύ καλή εσπρεσιερα αξίζει τα λεφτά της 
5, Παρα πολυ καλη 
5, Τέλειο 
5," την μηχανή την έχω στην κατοχή μου περίπου ένα μήνα. θα πελαγώσετε λίγο στην αρχή από τις αρκετές ρυθμίσεις που έχει, αλλά εάν διαβάσετε καλά το manual δεν υπάρχει πρόβλημα. οι καφέδες είναι πολύ καλοί, το αφρόγαλα επίσης, γρήγορη και αθόρυβη. Πρόβλημα έχει μόνο στους πολύ λεπτοκομμένους καφέδες. "
1, δεν λειτούργησε ποτέ και την επέστρεψα 
4," Ολα καλα, ολα χρυσα... Στον ατμο και το αφρογαλο υπαρχει ενα θεματακι... Οσες φορες τ επιχειρησαμε απετυχε. "
5, Αξιοπρεπής 
1," Μεσα σε μικρο χρονικο διαστημα αλλαξαμε τρεις ιδιες ελλατωματιλο προιον στο έπαρκο ευτυχως που ειχαμε την εγγυηση σας, πρεπει να τα μεταφερεται ομως στη μαμα εταιρεια που μοσχοπουλανε τετοια προιοντα! "
4, ΚΑΛΗ 
5, Πολυ καλη σχέση τιμής-ποιότητας καφέ. 
5, Πολύ ικανοποιημένος 
3, 3 
5, Καταπληκτική η καφετιέρα!!!!! 
3," Έχει ένα ελάττωμα και πρέπει να την επιστρέψω, απλά δεν έχω καταφέρει να έρθω Αθήνα "
5, Πάρα πολύ καλή μηχανή!!! 
5, παρα πολυ καλο για τα λεφτα του!. 
