stars,text
5, Ειχα αγορασει morris παρομοιο πριν απο 10 χρονια! Αντεχει ακομα.... Και πηρα αλλο ενα για το μαγαζι. 
5, Πολύ καλό σε καλή τιμή 
5, 9 
4, Apla kalo 
3, μετριο 
5, Δεν έχω κάτι αρνητικό. Μέχρι στιγμής είναι αξιόπιστο κ αξιζει τα χρήματα του 
5, Πολύ καλο 
5, Το εχω μόνο ένα μήνα. Προς το παρόν δεν υπάρχει καποιο πρόβλημα. 
5, Τέλειο 
1, ανυπαρτεs οδηγιεs στα ΕΛΛΗΝΙΚΑ 
5, Πολυ καλο κ αθορυβο 
5, Πολυ ικανοποιημενος 
5, Πολύ καλό 
3, Κάνει αρκετό θόρυβο και η κατάψυξη δεν είναι κατάψυξη απλά παγώνει λίγο περισσότερο 
3," Ελάχιστος χώρος για ένα νερό, παγάκια και ένα μπουκάλι νερό "
4, Οικονομικό κ πρακτικό... 
5, Καλό φαινεται 
5, Πολύ καλό σχεδόν καθόλου θόρυβος λειτουργίας... 
5, Πολυ καλό! 
5," Πολύ καλός σχεδιασμός, χωρίς θόρυβο. "
5, Το αγοράσαμε για επαγγελματικό χώρο (γραφείο). Κάνει μια χαρά τη δουλειά του. 
4, Το έχω για λίγο διάστημα στην κατοχή μου. Κανένα παράπονο. Για τα χρήματα που κόστισε φαίνεται τελικά ότι είναι μια τίμια και αξιόπιστη αγορά. 
5, Πολύ καλό σε συνδυασμό και με την χαμηλή τιμή 
5," Πολύ καλή απόδοση, εργονομικό, χαμηλή κατανάλωση. "
5," Κρύο ψυγείο, καλή ψυχή, χωρίς να παγώνει τα τρόφιμα "
5, Όλα καλά ευχαριστούμε 
5," Πολύ καλή ψύξη, χαμηλός θόρυβος, πολύ χαμηλή κατανάλωση. Εξαιρετική επιλογή value for money. "
3, καλό 
4, Πολύ καλό 
5, Άριστο για το μέγεθος του 
5," Πολύ καλό για την τιμή του, κομψό, και ευρύχωρο για την κατηγορία του και είναι πραγματικά αθόρυβο. Πολύ ευχαριστημένος μέχρι τώρα! Προτιμώ Ελληνικά προϊόντα όταν αξιόπιστα και ανταγωνίσιμα! Αξιόπιστη και συνεπή παράδοση, όλα πήγαν πολύ εύκολα και ομαλά από την παραγγελία μέχρι την παράδοση όπως συμφωνήθηκε! "
4, Καλο 
5," γρηγιρη εξυπηρετηση, πολυ καλη προσφορα "
1, Καθόλου ευχαριστημενη έχω ζητήσει αντικατάσταση δεδομένου ότι στην συντήρηση πιάνει παγο ο οποιος λιωνει τρεχει νερο κσι τα κάνει όλα μουσκεμα όλα τα προϊόντα σε οποια θερμοκρασία και το κυριότερο δεν το γράφουν στις προδιαγραφές ώστε να το αγοράσεις έν γνωση σου..Λες και είμαστε στην εποχή με τον πάγο. Λυπάμαι αλλά αυτή ειναι η αλήθεια. Και περιμ...Διαβάστε Περισσότεραένω εδώ και 15 μέρες τον τεχνικό. .... Διαβάστε Λιγότερα
5," Καλή απόδοση, σε καλή τιμή., "
5, Πολύ καλό. 
4," οκ ψυγείο , ρίχνει κάτι γκάζια σε κάποιες φάσεις αλλά παλεύονται "
4, Ένα οκ ψυγείο. Τίποτα τρελό. 
4," Ό,τι πρέπει για το μέγεθός του! Προσοχή μόνο μην υπερφορτώνονται τα ράφια της πόρτας γιατί θα ραγίσουν. Κατά τα άλλα εξαιρετική επιλογή ψυγείου για 2 άτομα. "
4, Λειτουργικό! 
4," Κατάψυξη φουλ, ψύξη μέτρια (8-10 βαθμούς στο medium), γεμίζει υγρασία στο πίσω μέρος και στα ράφια. Στα θετικά ότι είναι σχετικά αθόρυβο και όμορφο. Για αντοχή στο χρόνο δεν ξέρω. "
5, It works well and is very quiet. 
5, Το αγόρασα με βάση την τιμή και τα χαμηλά db και μπορώ να πω ότι και ποιοτικά είναι σε υψηλό επίπεδο. Μέχρι στιγμής το έχω περίπου ένα μήνα και είμαι πολύ ευχαριστημένος ιδιαίτερα με την αθόρυβη λειτουργία του. 
5, Πολύ καλή επιλογή 
5, ΕΞΑΙΡΕΤΙΚΟ 
5, Εξαιρετικό! 
5, ΤΕΛΕΙΟ 
1, Η ΠΟΡΤΑ ΤΗΣ ΚΑΤΑΨΥΞΗΣ ΕΠΑΙΖΕ ΠΑΝΩ ΚΑΤΩ ΟΤΑΝ ΤΗΝ ΑΝΟΙΓΕΣ ΕΠΕΦΤΕ 3 ΕΚΑΤΟΣΤΑ ΠΗΡΑ ΤΟ ΣΕΡΒΙΣ ΣΤΗ ΡΟΔΟ ΕΝΑΣ ΒΑΡΙΕΣΤΗΜΕΝΟΣ ΗΡΘΕ ΠΗΡΕ ΤΗΝ ΑΠΟΔΕΙΞΗ ΚΑΙ ΕΦΥΓΕ ΕΥΤΥΧΩΣ Ο ΠΑΤΕΡΑΣ ΜΟΥ ΕΒΑΛΕ ΔΥΟ ΡΟΔΕΛΕΣ ΠΛΑΣΤΙΚΕΣ ΓΙΑ ΝΑ ΕΦΑΡΜΟΣΕΙ Η ΠΟΡΤΑ Ο ΄΄ΜΑΣΤΟΡΑΣ'' ΤΟΥ ΣΕΡΒΙΣ ΧΑΜΠΑΡΙ ΔΕΝ ΠΗΡΕ ΑΠΟ ΑΝΑΓΚΗ ΚΑΙ ΜΟΝΟ ΕΓΙΝΕ Η ΑΓΟΡΑ ΔΥΣΤΥΧΩΣ ΔΕΝ ΥΠΑΡΧΕΙ ΑΝΑΛΑΚΤΙΚΗ ΣΤΟ ΝΗΣΙ ΚΑΙ ΤΡ...Διαβάστε ΠερισσότεραΩΜΕ ΣΤΗΝ ΜΑΠΑ ΤΑ ΥΠΟΠΡΟΙΟΝΤΑ ΚΑΙ ΤΙΣ ΤΡΑΓΙΚΕΣ ΥΠΗΡΕΣΙΕΣ! Διαβάστε Λιγότερα
4, Πολύ καλό 
4, Πολυ καλη σχεση τιμης- ποιοτητας. Αθορυβο. Πολυ καλοι χωροι για τις διαστασεις του. Μεγαλη καταψυξη. Τεσσερα γυαλινα ραφια στη συντηρηση. Αποδοτικο και στην καταψυξη και στην συντηρηση 
4," Ένα πολύ καλό συμβατικό ψυγείο , αθόρυβο , ενώ τα ράφια έχουν πολλές επιλογές στην τοποθέτηση τους "
4," ΣΤΗ ΣΥΣΚΕΥΑΣΊΑ ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΥΓΟΘΗΚΗ ΚΑΙ ΟΙ ΟΔΗΓΙΕΣ ΧΡΗΣΗΣ, ΠΑΡΑ ΤΟΝ ΤΕΡΑΣΤΙΟ ΟΓΚΟ ΤΟΥΣ, ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΟΥΝ ΤΗ ΡΥΘΜΙΣΗ ΤΟΥ ΘΕΡΜΟΣΤΑΤΗ. ΑΝΑΓΚΑΣΤΙΚΑ ΝΑ ΚΑΤΑΦΥΓΩ ΣΤΟ INTERNET ΓΙΑ ΝΑ ΤΙΣ ΒΡΩ ΚΑΙ ΤΙΣ ΚΑΤΕΒΑΣΑ ΑΠΟ ΤΟ ΕΠΙΣΗΜΟ SITE ΤΗΣ ΕΤΑΙΡΕΙΑΣ !!!!! "
4," Πολύ καλό και ευρύχωρο ψυγείο, κάνει λίγο θόρυβο το μοτέρ του, το ακούς δηλαδή όταν βρίσκεσαι στην κουζίνα και βουίζει!! "
5, Είχε χτυπήματα στα πλαϊνά αλλά δεν το πρόσεξαμε όταν το παραλάβαμε . Πολύ καλό ψυγείο 
5, μεχρι τωρα ΙΚΑΝΟΠΟΙΗΤΙΚΟ 
5, Απόλυτα ικανοποιημένος 
5, Value for money 
4," αξιόπιστο, αθόρυβο, με αρκετούς χώρους και έξυπνες θήκες και οικονομικό "
5, Καλή ψύξη και κατάψυξη 
5, Πέντε 
5, Κάνει πολύυ θόρυβο. Ευρύχωρο κατά τα άλλα. 
5, ΠΟΛΥ ΚΑΛΌ 
3, 3 
3," Γενικά καλό είναι. Ο εσωτερικός χώρος ειναι περιορισμένος, δεν είναι χρηστικός. "
4, Πόρτα κατάψυξης ανοίγει με το μικρό σου δάκτυλό. Ίσως είναι πρόβλημα. Ο τεχνικός είπε ότι είναι οκ. Δεν ξερω 
5, Para polu kalh! 
5," Το αγόρασα για το γραφείο. Τη δουλειά του τη κάνει μια χαρά ως τώρα. Εχει αρκετούς χώρους, ισχυρή ψύξη και όμορφο σχεδιασμό. Δε ζητάς κάτι παραπάνω σ'αυτά τα λεφτά. "
5," Παρά πολύ καλό.Κανει παγάκια σε λιγότερο από 2ωρες, δροσίζει τα νερά γρήγορα και είναι αθόρυβο "
5, Για φοιτιτικο σπιτι αψογο Αθορυβο 
4," ωραίο ελαφρύ ψυγείο,. πολύ αθόρυβο και χαμηλής κατανάλωσης. το μόνο που του λείπει είναι ο εσωτερικός φωτισμός "
4, 4 
3, Αρκετα καλο.δεν εχει λαμπάκι. Κ ο θαλαμος ειναι σκοτεινός. 
3," Εχει ικανοποιητική απόδοση στη συντήρηση, αλλά στην κατάψυξη κατάφερε να κάνει παγάκια την τρίτη ημέρα με τον θερμοστάτη στο 5 (Κλίμακα 1-8). "
5, Εξαιρετική αγορά 
5, Όμορφο και λειτουργικό. Ότι πρέπει για το γραφείο ή για ένα 2ο ψυγείο στο σπίτι 
5, Αξιόλογη αγορά Είμαι πολύ ικανοποιημενη 
5, Προς το παρόν πολύ αξιόλογο ! 
3," Όμορφο και βολικό ψυγείο, προβλήματα με την κατάψυξη, άρχισε να δημιουργείται πάγος από την πρώτη μέρα λειτουργίας "
5, Παρά πολύ καλό !!!! 
4, Μέχρι τώρα υπέροχο 
3, Καλό 
4, ΠΟΛΥ ΚΑΛΟ 
5," πολύ καλό σε όλα, όσον αφορά τον ήχο είναι ίδιος όσος και των άλλων ψυγείων "
5," Αξιόλογη αγορά, δεν κάνει θόρυβο και δεν θεωρώ ότι είναι ιδανικό για οικογένεια καθώς δεν διαθέτει μεγάλη κατάψυξη. "
4," Πολύ καλή ποιότητα , αξίζει τα λεφτά του. Πολύ καλή ψύξη, ενεργειακά οικονομικό. Ειδοποιεί με κουδουνάκι αν αφήσεις την πόρτα ανοιχτή για ώρα. Απλώς οι χώροι του ψύξη κατάψυξη δεν είναι σωστά κατανεμημένοι και δεν είναι πολύ εργονομικό. Έπρεπε να είναι κάτω η κατάψυξη και πάνω η ψύξη όπως όλα σχεδόν τα τελευταία μοντέλα. Χάνεται πολύς χώρος στην κ...Διαβάστε Περισσότεραατάψυξη με την παγοθήκη και έχει στην ψύξη ένα ολόκληρο πλαϊνό ράφι για μόνιμη αυγουλιέρα (σχεδόν 20 αυγά) με αποτέλεσμα ελάχιστο χώρο για άλλα αντικείμενα, π.χ. κουτάκια αναψυκτικών , βούτυρο κλπ. Διαβάστε Λιγότερα"
5, Μικρή κατάψυξη 
4, n/a 
1," Πριν το αγοράσω διάβασα τα τεχνικά χαρακτηριστικά του, το ψυγείο είναι καλαίσθητο, σχετικά οικονομικό και θα έπρεπε να είναι λειτουργικό. Στον 1 μήνα λειτουργίας διαπίστωσα τα εξής μειονεκτήματα: Το ύψος του είναι μεγάλο και θα έπρεπε να υπάρχει η δυνατότητα προσαρμοσμένου ραφιού, το τελευταίο είναι στο 1,90 (τελικά δεν προσαρμόζονται αν και αναφέ...Διαβάστε Περισσότεραρεται στα χαρακτηριστικά). Ο χώρος κατάψυξης είναι οριακός και τα συρτάρια δεν είναι εργονομικά. Το μεγαλύτερο πρόβλημα όμως είναι ο περίεργος θόρυβος του μοτέρ, είναι σαν πριονοκορδέλα! Είναι εκνευριστικά ασυνήθιστος σε βαθμό που να θέλεις να το βγάλεις από τη πρίζα. Κάλεσα το service και όταν ήρθε ο τεχνικός μου είπε ότι το κάνει το μοτέρ επειδή είναι full no frost. Επίσης δεν είδα την super anti no frost διατήρηση των λαχανικών & anti smell ontour που διατείνονται. Διαβάστε Λιγότερα"
5," Μεγάλοι χώροι, πολιτισμένη σχεδόν αθόρυβη λειτουργία, τέλεια επιλογή σε πάρα πολύ καλή τιμή!!! "
5, Εξαίρετο προϊόν με αρκετα ικανοποιητικο χώρο αποθήκευσης!! 
5, πολύ καλο προϊόν 
5," αψογο. ενα μικρο μειον, η ελλειψη δυνατοτητας αρκετων αλλαγων των ραφιων σε υψος. θα επρεπε να εχει εστω 2 θεσεις υψους, ακομα. "
4, Το προϊόν είναι πολύ καλό - Οι αυγοθήκες όμως που διαθέτει για πέταμα κράτησα από το παλιό ψυγείο 
1," Το πρώτο που έλαβα ήταν χτυπημένο και έτσι αναγκάστηκα να το επιστρέψω και να περιμένω να μου φέρουν άλλο. Αφού ήρθε και το δεύτερο μετά από μέρες, το έβαλα στην μπριζα και δεν λειτουργούσε. Μπήκα λοιπόν στην διαδικασία να ζητήσω αντικατάσταση (DOA) όπως προβλέπεται και μετά από πολλά τηλεφωνήματα στον Κωτσόβολο και στην αντιπροσωπεία της ...Διαβάστε Περισσότεραmorris ήρθε τεχνικός και διέγνωσε βλάβη την οποία και επισκεύασε.  Το θέμα είναι πως εγώ έμεινα αρκετές μέρες χωρίς ψυγείο, το οποίο είχα εξοφλήσει εξ αρχής. Επίσης αυτή τη στιγμή έχω ένα προϊόν το οποίο είναι επισκευασμένο και δεν ξέρω τι άλλη βλάβη μπορεί να παρουσιάσει. Τα συμπεράσματα λοιπόν δικά σας, για την morris, αλλά κυρίως για την εταιρεία Κωτσόβολος. Το σίγουρο πάντως είναι πως δεν θα προτείνω σε κανέναν καμία από τις δύο εταιρείες, ούτε εγώ θα τις προτιμήσω ξανά. Διαβάστε Λιγότερα"
5, Πάρα πολύ καλό !! Η μάνα μου ευτυχισμένη 
4," Ευρύχωρο, μεγάλη καταψυξη! Ο θόρυβος είναι ελάχιστος! Σε γενικές γραμμές πολύ καλό! "
5, Πολύ καλό. 
5, 👍👍 
5, Ένα ωραίο ψυγείο σας ευχαριστώ 
5," Γρήγορο ψήσιμο, μεγάλη επιφάνεια. "
