stars,text
2," ΘΕΤΙΚΑ: γρήγορος (1η εβδομάδα χρήσης) ΑΡΝΗΤΙΚΑ: Θόρυβος από τα ανεμιστηράκια από την πρώτη ημέρα, κολλάει στα γραφικά και η μπαταρία δεν κρατάει πάνω από 2ώρες "
3, ΚΑΝΕΙ ΠΟΛΥ ΘΟΡΥΒΟ! ΚΑΛΗ ΣΧΕΣΗ ΠΟΙΟΤΗΤΑΣ - ΤΙΜΗΣ 
4, Αρκετά καλα και οικονομικό 
5, Αψογο! Πολυ καλη ποιοτητα κατασκευης! 
5, Πολύ καλή ψύξη. 
5, Τέλειο 
5, Άριστο αθόρυβο (ίσα που το άκους ότι δουλευει) κάνει πάρα πολύ καλά τν δουλειά του και για τα λεφτά του πιστεύω ότι καλύτερο και δεν έχει να ζηλέψει από τα πιο ακριβά 
5," Εντάξει δεν ειναι εντελώς αθόρυβο, έχει έναν ελάχιστο μηχανικό θόρυβο. Είναι όμως πολύ καλό για την τιμή του "
4," ειναι πολυ καλο, θα ήθελα να ειναι λιγο πιο δυνατοί οι ανεμιστήρες. Κατα τα αλλα ειναι μια χαρά "
4, καλο και αθορυβο 
3, Σχετικά καλό 
3," ολα καλα, ευχαριστω πολυ "
5, Πολύ καλό! 
5, Πολύ Καλό 
4," Το έχω περίπου ένα μήνα και έχω μείνει ευχαριστημένη μέχρι στιγμής. Το λαπτοπ σε συνθήκες gaming, από 90 βαθμούς πέφτει στους 82-84 και κολλάει λιγότερο. Σε συνηθισμένες συνθήκες (πχ, βίντεο ή ταινία, ή απλά browsing) από 58-60 βαθμούς στους 52. Πολύ καλή κατασκευή, και όμορφο στην όψη. Βάζω 4 αστέρια γιατί το περίμενα λίγο πιο δυνατό....Διαβάστε Περισσότερα Διαβάστε Λιγότερα"
3, Μετριο 
5," Για τα χρήματα που κοστίζει, είναι απίστευτο! Και αλουμινίο, περίμενα κάποια πλαστικούρα πριν έρθει. Οθόνη φανταστική (IPS). Το πληκτρολόγιο είναι λίγο μέτριο αλλά πάλι για τα χρήματα αυτά αναμενόμενο. Φυσικά πήρα και SSD γιατί τα 32GB που έχει είναι τίποτα.. "
5," Το αγόρασα στα 199 ευρώ. Άριστο για απλή χρήση, οθόνη φανταστική, ελαφρύ, αρκετά καλή μπαταρία. "
5, Πολύ καλο 
5, Αρίστο 
4, Αν είχε λίγο μεγαλύτερη μνήμη θα ήταν καλύτερα 
4, ΘΕΤΙΚΗ 
5," Πολύ καλό, γρήγορο δεν κολλάει, άριστη ανάλυση "
5, Το πέτυχα προσφορά 189.00 ευρώ 
5," Αξιόλογο για τα χρήματά του ! Κανένα κόλλημα ως τώρα σε εκτέλεση βασικών λειτουργιών (τανίες, browsing, office). Γρήγορο boot των windows! Κατασκευή άριστη και στιβαρή - υπερβολικά λεπτό σε πάχος! "
5, Για τα λεφτά του πολύ καλό 
4, Καλό προϊόν. Θα ήθελα μόνο να είχε λίγο περισσότερο βάθος στην κεντρική θήκη. 
1, Αυτή η τσάντα είναι για pc 15 και όχι 17 ιντσών όπως αναφέρει ο τίτλος. Χρειάστηκε να την αλλάξω. 
5, Τρομερή τσάντα!Πολύ καλή ποιότητα και αδιάβροχη!Πολλοί αποθηκευτικοί χώροι! 
5, Πολύ ποιοτική και βολική. 
5, Εξαιρετικό 
5," Εξαιρετικό για τα χρήματα που μου κόστισε.Οποιος περιμένει το κάτι παραπάνω σε επιδόσεις θα απογοητευτεί,αλλά για τα χρήματα του ειναι μια χαρά. "
5, Τέλειο 
5," Συμπαθητικό, με εξαίρεση τον σκληρό που ναι ελαφρώς αργός την κάνει την δουλειά του, εικόνα και ήχος κομπλέ, καλό σύστημα ψύξης, τίμια κάρτα γραφικών με ικανοποιητική απόδοση για παιχνίδια, πολύ καλή επιλογή για την κατηγορία του. "
3," Ο ssd που έχει δεν είναι ιδιαίτερα γρήγορος, έχει βεβαία υποδοχή για δεύτερο σκληρό δίσκο. Η οθόνη του δεν είναι και από τις καλύτερες και το ανεμιστηρακι του κάνει θόρυβο. Είναι μικρός, ελαφρύς με καλή κατασκευή και μετακινείται εύκολα. "
3, ΜΕΤΡΙΑ ΑΠΌΔΟΣΗ 
3, Κακη Επιλογη Τα Windows S.Τα Αλλαξα σε Pro 
4, πέφτει πολύ γρήγορα η μπαταρία του. Με τη μέχρι τώρα χρήση του δεν έχει κάτι άλλο αρνητικό. 
2, Δουλευει συνέχεια ο σκληρός και προκαλει κολλήματα 
5, Ένα προϊόν που καλύπτει απόλυτα τις ανάγκες μου και σε λογική τιμή! 
4, ΕΙΝΑΙ ΑΡΓΟ ΣΤΗΝ ΑΝΤΑ ΠΟΚΡΙΣΗ. 
5, ΟΛΑ ΕΓΙΝΑΝ ΟΠΩΣ ΣΥΜΦΩΝΗΘΗΚΑΝ 
1, Πολύ κακή επιλογή 
5, Πολύ καλό Laptop το έχω μόνο για οικιακή χρήση και το βρήκα τέλειο 
4, Έχει λίγα θέματα η μπαταρία καθώς και λίγο ο επεξεργαστής του αλλά για τα χρήματα που το αγόρασα(300€ σε έκπτωση)και την ανταπόκριση που ειχα σίγουρα αξίζει. 
4," Ο υπολογιστής είναι λεπτός, παναλαφρος κ έχει υπέροχη οθόνη. Το touch pad δεν είναι πολύ καλό, μου φαίνεται ότι το αριστερό κλικ έχει χαλαρώσει κ επιπλέον κολλάει σε βασικά πράγματα - όπως πχ το κατέβασμα μιας εφαρμογής βίντεο. Για βασικές λειτουργίες είναι καλός κ βολικος (fb, σερφαρισμα στο διαδίκτυο, παρακολούθηση ταινιων κτλ). Αν τον θέλετε γι...Διαβάστε Περισσότεραα πιο βαριές εφαρμογές κ χρήση δεν τον συστήνω. Διαβάστε Λιγότερα"
5," Εξαιρετικός φορητός, οθόνη (IPS) μεγάλης κατηγορίας σε τιμή μικρής. Αθόρυβος. "
2, 2 
2, Είναι πολύ αργος στην επεξεργασία της εντολης 
5," Πολύ καλό, η μνήμη 8GB σε συνδυασμό με τον επεξεργαστή i5 το κάνει αρκετά γρήγορο. "
5, Πολυ καλος 
4," Πολύ καλό για την τιμή του. Αν αντί για μηχανικό, είχε SSD δίσκο, θα έβαζα 5 "
5, το laptop απλά πετάει! 
4, Μια χαρά λάπτοπ 
5, . 
5, Πολύ καλό!!! 
4, Πλην όμως με μέτριας ποιότητας οθόνη και ακόμα πιο μέτριας ποιότητας κατασκευής. 
2, Στον μήνα πάνω χάλασε ο σκληρός δίσκος .Πως να είμαι ευχαριστημένος θα έπρεπε να δώσουν νέο laptop. 
5, Ενα απτα καλυτερα gaming λαπτοπ σε αυτην την τιμη δεν μετανιωσα καθολου 
5, ΠΟΛΥ ΚΑΛΟΣ ΥΠΟΛΟΓΙΣΤΗΣ 
5, Φοβερό μηχάνημα! Δεν κολλάει πουθενά! Τέλειο design. 
5, Οκ 
4, Για να δουλεύω με το λάπτοπ στα πόδια είναι μια χαρά. Η ψύξη του αναμενόμενη (1-2 βαθμούς). Στον ένα μήνα που το έχω είμαι ευχαριστημένος. 
5, είναι μακράν η πιο άνετη βάση για τα πόδια και το κρεβάτι! ίσως όχι για βαρύ gaming αλλά για κάζουαλ χρήση είναι αξεπέραστη! το μόνο αρνητικό είναι ότι η τιμή της είναιλίγο τσιμπιμένη 
3, Καλό αλλά όχι δυνατό Ιδανικό για notebook και γενικά μικρά λαπτοπ  Και επιπλέον δεν είχε καλώδιο USB στη συσκευασία 
5, Άριστη 
5, Άριστο 
5, Άριστη αναλογία απόδοσης - τιμής 
5, Πολύ καλή 
2, ΜΕΤΡΙΟ 
5, Γρήγορο !!! Ανάλυση!!! 
4, ΠΟΛΥ ΚΑΛΟ 
4, Καλο 
4, καλό ταμπλετ αλλά υπερβολικά έντονο το branding και software της MLS 
