stars,text
5, Πολύ καλό. 
3," ΓΙΑ ΤΗΝ ΤΙΜΗ ΤΟΥ ΕΙΝΑΙ ΚΑΛΟ ΑΠΛΟ, ΠΛΕΝΕΙ ΣΤΟΥΣ 6Ο ΒΑΘΜΟΥΣ ,ΑΘΟΡΥΒΟ,ΚΑΝΕΙ ΤΟ ΠΡ0ΓΡΑΜΜΑ ΠΕΡΙΠΟΥ 3 ΩΡΕΣ "
5," Σχετικά αθόρυβο, πολύ καλή λειτουργία αφαλάτωσης, εύκολο στη χρήση.  Ποιότητα κατασκευής μέτρια. Πολλά πλαστικά μέρη που θα φθαρούν εύκολα με τα χρόνια. "
3, Η εσωτερική θήκη για τα πιάτα δεν ειναι βολικη 
5, ΠΟΛΥ ΚΑΛΟ 
5, Ικανοποιητικό για την κατηγορία και το μέγεθός του 
5, Πολύ όμορφο με κουμπιά αφής. Πολύ καθαρά τα πιάτα και τα ποτήρια. Είναι πολύ νωρίς για να έχω άποψη για την ανθεκτικότητά του. Το μόνο κακό είναι ότι ο χώρος μέσα είναι μικρότερος από των ίδιων διαστάσεων προηγούμενο πλυντήριό μου. Βέβαια απ ότι έχω δει όλα πλέον τα πλυντήρια την ίδια χωρητικότητα έχουν άρα δεν είναι πρόβλημα του morris 
5, ΠΟΛΥ ΚΑΛΟ ΠΡΟΙΟΝ 
4," Αριστο μεχρις Στιγμης, και Αθορυβη η Λειτουργια του... "
5, Ειναι τελειο 
5, ΠΟΛΥ ΚΑΛΟ ΚΑΙ ΟΙΚΟΝΟΜΙΚΟ 
4, Πολύ καλό πλυντήριο 
1, οχι πολυ ικανοποημενη.. 
5, Για τον ελάχιστο χρόνο που το έχουμε ( αγορά 11 / 2017 ). Μέχρι στιγμής άψογο!!! 
5, Άριστο! 
5, Πολύ μεγάλη χωρητικότητα. Χωράει κατσαρόλες και χαμηλές χύτρες. 
