stars,text
5, Την έχω λίγο καιρό αλλά είμαι πολύ ευχαριστημένη!! Τι συνιστώ ανεπιφύλακτα!! 
5, ΜΕ ΔΥΟ ΛΕΞΕΙΣ ΠΟΛΥ ΚΑΛΗ 
5, Άριστο προϊόν τέλεια εικόνα και ήχος! Πάρα πολύ ικανοποιημένος! 
5, ΕΚΑΝΑ ΜΙΑ ΠΟΛΥ ΚΑΛΗ ΑΓΟΡΑ!  ΤΗΝ ΠΡΟΤΕΙΝΩ... 
5, Vlepis kathara Kai oreo xroma exei polla 
5, Πολύ καλή 
5, Πολύ καλή ποιότητα και χαμηλή τιμή! 
5, Για την τιμή της είναι πολύ καλη 
5, Εξαιρετική 
5, Εξαιρετική τηλεόραση. 
5, 5 αστέρια 
5, Αριστο 
5," Εξαιρετική τηλεόραση,φανταστικά χρώματα και σε εξαιρετική τιμή. "
4, Αρκετά καλή για τα λεφτά της 
5, Cool 
5, Υπέροχη σε συμφέρουσα τιμή. 
5, Πολύ καλή σχέση τιμής-ποιότητας. Ο επίγειος δέκτης λειτουργεί χωρίς να χρειάζεται ενισχυτή ή καποιο αλλο βοήθημα για το σήμα. Συνδέεται απευθείας με την κεραία. Αγορα νalue for money 
5, αρκετά καλή ποιότητα 
5, Η συγκεκριμένη τηλεόραση συνδύασε πολλά και καλά στοιχεία:  1. Ιδανικό μέγεθος για υπνοδωμάτιο. 2. Πολύ όμορφη κατασκευή. 3. Εξαιρετική τιμή. 4. Πολύ καλή ποιότητα εικόνας και ήχου.  Θεωρώ ότι αποτελεί μια πολύ αξιακή αγορά. 
5, ΠΟΛΥ ΚΑΛΟ 
4," ΓΙΑ 115 ΕΥΡΩ ΠΟΥ ΗΤΑΝ ΣΕ ΠΡΟΣΦΟΡΑ ΕΙΝΑΙ ΠΑΡΑ ΠΟΛΥ ΚΑΛΗ ΕΥΚΑΙΡΙΑ (VALUE FOR MONEY).  Η ΜΟΝΑΔΙΚΗ ΣΤΗ ΚΑΤΗΓΟΡΙΑ ΤΗΣ ΣΤΑ 1ΟΟ Hz, ΠΟΛΥ ΚΑΛΟΣ ΗΧΟΣ. "
4, Καλή ποιότητα αλλά τελικά χρειάζονται περισσότερες ίντσες 
3, 3 
5, - 
5, Υψηλής τεχνολογίας ανάλυση εικόνα. 
5, Καλο 
4, Πολύ καλή εικόνα με ωραία χρώματα. 
4, Αρκετά καλή για να τα λεφτά που δίνεις. Αξίζει για μικρή τηλεοραση 
4, Για τα λεφτα που δίνεις και ξέροντας οτι ειναι μια τηλεόραση HDReady ειναι πολυ καλη και σε σχέση με αλλες HDReady τηλεοράσεις εχει πιο ζωντανά και έντονα χρώματα.Την συνιστώ !!! 
5, Πολυ καλή !!! 
5, αριστη τηλεοραση! 
5, Value for Money 
4, ΠΟΛΥ ΚΑΛΗ 
5, ΠΟΛΥ ΑΞΙΟΛΟΓΟ ΜΟΝΤΕΛΟ. 
4, Καλή τιμη 
3, Μετριότατη απόδοση μαύρου κσι λευκού με αποτέλεσμα χαμηλό κοντράστ που γίνεται έντονο και εμφανές τόσο σε σκοτεινά όσο και φωτεινά πλάνα όπου χάνεται η λεπτομέρεια και η ζωντάνια της εικόνας ! 
1, Ταλαιπωρία για την αλλαγή.... Και ξανά πήρα νέα τηλεόραση 
1, μετρια 
3, Ικανοποιητική για την τιμή της. 
5, Προσιτή τιμή. Καλή τηλεόραση 
5, Πολύ καλή τηλεόραση! Προσωπικά τη χρησιμοποιώ σε υπνοδωμάτιο (απόσταση θέασης 3μ.) κι έχω μείνει πολυ ευχαριστημένος από την αντίθεση και τα χρώματα. Γενικά οι LG έχουν καλή ποιοτητα κατασκευής. 
5, Εξαιρετική για τα χρήματα της. 
5, 👍 
5, Πολη καλη 
5, Πολυ καλη 
4," Μια πολύ καλή τηλεόραση με εύκολη λειτουργία, καλο μενού και ποιότητα εικόνας HD ready. Τέλεια αγορά για την κρεβατοκαμαρα που πήρα εγώ (απόσταση προβολής 2m). "
4, Πολύ καλή για τα λεφτά της! 
